Samples,Xpos,Ypos,Pow,NebMode
49,0.21235679067988045,0.042613836200979804,0.09653224866386978,0
50,0.2225946360448141,0.06307841759605637,0.08125351349378107,0
51,0.20723786799741717,0.042613836200979804,0.09143933694050865,0
52,0.21747571336234728,0.04772998154975028,0.08634642521714397,0
53,0.20723786799741717,0.052846126898518975,0.08634642521714397,0
54,0.21235679067988045,0.04772998154975028,0.09143933694050865,0
55,0.20723786799741717,0.042613836200979804,0.08125351349378107,0
56,0.21235679067988045,0.042613836200979804,0.08634642521714397,0
57,0.20723786799741717,0.04772998154975028,0.08634642521714397,0
58,0.21747571336234728,0.052846126898518975,0.09143933694050865,0
59,0.20723786799741717,0.042613836200979804,0.08634642521714397,0
60,0.20723786799741717,0.042613836200979804,0.08634642521714397,0
61,0.21235679067988045,0.052846126898518975,0.07616060177042172,0
62,0.20723786799741717,0.04772998154975028,0.09653224866386978,0
63,0.21235679067988045,0.04772998154975028,0.09143933694050865,0
64,0.21235679067988045,0.05796227224728945,0.08125351349378107,0
65,0.20723786799741717,0.042613836200979804,0.10162516038723624,0
66,0.2277135587272774,0.06307841759605637,0.08634642521714397,0
67,0.21235679067988045,0.042613836200979804,0.09653224866386978,0
68,0.2277135587272774,0.052846126898518975,0.08125351349378107,0
69,0.20211894531494856,0.042613836200979804,0.08634642521714397,0
70,0.21235679067988045,0.04772998154975028,0.08125351349378107,0
71,0.20723786799741717,0.042613836200979804,0.09653224866386978,0
72,0.21235679067988045,0.04772998154975028,0.09143933694050865,0
73,0.21235679067988045,0.052846126898518975,0.07616060177042172,0
74,0.19700002263247995,0.037497690852212884,0.09653224866386978,0
75,0.2225946360448141,0.05796227224728945,0.08634642521714397,0
76,0.20723786799741717,0.042613836200979804,0.09143933694050865,0
77,0.20723786799741717,0.042613836200979804,0.09143933694050865,0
78,0.21747571336234728,0.05796227224728945,0.08125351349378107,0
79,0.20723786799741717,0.042613836200979804,0.10671807211059559,0
80,0.2277135587272774,0.05796227224728945,0.08634642521714397,0
81,0.20723786799741717,0.04772998154975028,0.09653224866386978,0
82,0.21747571336234728,0.052846126898518975,0.08634642521714397,0
83,0.21235679067988045,0.04772998154975028,0.09143933694050865,0
84,0.21235679067988045,0.042613836200979804,0.08634642521714397,0
85,0.21235679067988045,0.052846126898518975,0.08634642521714397,0
86,0.20723786799741717,0.042613836200979804,0.08634642521714397,0
87,0.21235679067988045,0.052846126898518975,0.08634642521714397,0
88,0.20211894531494856,0.04772998154975028,0.09653224866386978,0
89,0.21747571336234728,0.06307841759605637,0.08125351349378107,0
90,0.20211894531494856,0.037497690852212884,0.09653224866386978,0
91,0.20723786799741717,0.04772998154975028,0.08125351349378107,0
92,0.21235679067988045,0.04772998154975028,0.08125351349378107,0
93,0.20723786799741717,0.042613836200979804,0.10162516038723624,0
94,0.2277135587272774,0.06307841759605637,0.08634642521714397,0
95,0.20211894531494856,0.042613836200979804,0.09143933694050865,0
96,0.21747571336234728,0.052846126898518975,0.09143933694050865,0
97,0.20211894531494856,0.042613836200979804,0.08125351349378107,0
98,0.20723786799741717,0.04772998154975028,0.09653224866386978,0
99,0.21747571336234728,0.052846126898518975,0.08125351349378107,0
100,0.20723786799741717,0.04772998154975028,0.10162516038723624,0
101,0.21747571336234728,0.05796227224728945,0.07616060177042172,0
102,0.20723786799741717,0.042613836200979804,0.09653224866386978,0
103,0.2225946360448141,0.052846126898518975,0.08634642521714397,0
104,0.20723786799741717,0.042613836200979804,0.08634642521714397,0
105,0.21747571336234728,0.04772998154975028,0.09143933694050865,0
106,0.20211894531494856,0.04772998154975028,0.08125351349378107,0
107,0.20723786799741717,0.042613836200979804,0.09653224866386978,0
108,0.21747571336234728,0.05796227224728945,0.08125351349378107,0
109,0.20723786799741717,0.04772998154975028,0.08634642521714397,0
110,0.20211894531494856,0.037497690852212884,0.08634642521714397,0
111,0.2277135587272774,0.06307841759605637,0.08125351349378107,0
112,0.20723786799741717,0.052846126898518975,0.10162516038723624,0
113,0.2225946360448141,0.05796227224728945,0.08634642521714397,0
114,0.20723786799741717,0.04772998154975028,0.09653224866386978,0
115,0.2225946360448141,0.05796227224728945,0.08634642521714397,0
116,0.20723786799741717,0.042613836200979804,0.10162516038723624,0
117,0.2277135587272774,0.06307841759605637,0.08125351349378107,0
